205 ['heating.circuits.3', 'feature']
206 ['heating.dhw.temperature.hygiene', 'feature']
207 ['heating.circuits.1.sensors.temperature', 'feature']
208 ['heating.boiler.serial', 'feature']
209 ['heating.configuration.regulation', 'feature']
210 ['heating.operating.programs', 'feature']
211 ['heating.circuits.2.circulation.pump', 'feature']
212 ['heating.circuits.0.geofencing', 'feature']
213 ['heating.circuits.1.geofencing', 'feature']
214 ['heating.circuits.2.geofencing', 'feature']
215 ['heating.circuits.3.geofencing', 'feature']
